2026-04-20 13:43:39.504 |  WARN |                      main | i.m.core.instrument.MeterRegistry        | This Gauge has been already registered (MeterId{name='disk.free', tags=[tag(axonserver=axonserver),tag(path=/)]}), the registration will be ignored. Note that subsequent logs will be logged at debug level.
2026-04-20 13:43:40.147 |  INFO |                      main | i.a.a.e.c.i.MessagingClusterServer       | Axon Server Cluster Server started on port: 8224 - no SSL
2026-04-20 13:43:40.254 |  INFO |                      main | io.axoniq.axonserver.grpc.Gateway        | Axon Server Gateway started on port: 8124 - no SSL
2026-04-20 13:43:40.273 |  INFO |                      main | o.s.b.w.embedded.tomcat.TomcatWebServer  | Tomcat started on port 8024 (http) with context path '/'
2026-04-20 13:43:40.293 |  INFO |                      main | io.axoniq.axonserver.AxonServer          | Started AxonServer in 15.788 seconds (process running for 16.832)
2026-04-20 13:43:46.275 |  INFO |      http-nio-8024-exec-3 | A.i.a.a.ui.ClusterUpdatesService         | [<anonymous>] Subscribed to context updates.
2026-04-20 13:43:52.974 |  INFO |      http-nio-8024-exec-7 | A.i.a.a.ui.ClusterUpdatesService         | [<anonymous>] Subscribed to context updates.
2026-04-20 13:43:54.247 |  INFO |      http-nio-8024-exec-2 | i.a.a.a.c.r.ContextAdminRequestProcessor | [<anonymous>] Request to initialize cluster [default] .
2026-04-20 13:43:54.260 |  INFO |      http-nio-8024-exec-2 | i.a.a.c.r.file.PrimaryLogEntryStore      | _admin: Initializing log
2026-04-20 13:43:54.263 |  INFO |      http-nio-8024-exec-2 | i.a.a.c.r.file.PrimaryLogEntryStore      | _admin: File for segment 1 does not exist. Creating new file with size of 16777216.
2026-04-20 13:43:54.290 |  INFO |      http-nio-8024-exec-2 | io.axoniq.axonserver.cluster.RaftNode    | _admin in term 0: Updating state from null to IdleState (Node initialized.)
2026-04-20 13:43:54.301 |  INFO |      http-nio-8024-exec-2 | io.axoniq.axonserver.cluster.RaftNode    | _admin in term 0: Starting the node...
2026-04-20 13:43:54.307 |  INFO |      http-nio-8024-exec-2 | io.axoniq.axonserver.cluster.RaftNode    | _admin in term 0: Updating state from IdleState to FollowerState (Role PRIMARY)
2026-04-20 13:43:54.312 |  INFO |      http-nio-8024-exec-2 | io.axoniq.axonserver.cluster.RaftNode    | The replication log compaction for "_admin" is scheduled each 1 hour(s).
2026-04-20 13:43:54.313 |  INFO |      http-nio-8024-exec-2 | io.axoniq.axonserver.cluster.RaftNode    | _admin in term 0: Node started.
2026-04-20 13:43:55.611 |  INFO |        _admin-raftState-1 | i.a.axonserver.cluster.FollowerState     | _admin in term 0: Timeout in follower state: 1303 ms.
